AchieveConcernListAction	获得关注的成就列表
AchieveDefaultImageAction	获得成就的默认图片数组
AchieveDetailsAction	成就详情
AchieveListAction	不同条件查询出的成就列表
AchieveSearchAction	模糊查询成就
AllTagsAction	查询所有的帖子标签，按帖子数降序排列
CancelConcernAction	取消对用户的关注
CancelPraiseAction	取消对帖子的点赞
CancelTagConcernAction	取消对标签（频道）的关注
CompleteAchieveAction	完成某个成就
ConcernListAction	获得用户的关注列表
MatchAction	返回匹配的用户信息，匹配失败给出错误原因
PostCommentListAction	返回帖子的所有评论，包含帖子本身
PostConcernListAction	获得所有的关注的帖子
PostDeleteAction	删除帖子
PostListAction	首页帖子列表
PostWriteAction	发帖子，引用了成就则自动在成就下评论
RegisterAction	注册
SearchByTagAction	根据标签查找帖子
SearchByTopicAction	查询话题和成就（模糊查询）
SearchHotTopicAction	查询热门话题以及热门成就
SetAchieveAction	获得成就
SetAchieveConcernAction	关注该成就，已经获得成就的用户默认关注了该成就
SetCommentAction	评论
SetCommentAllReadAction	设置所有未读评论消息为已读
SetCommentReadAction	设置评论消息为已读
SetConcernAction	设置关注用户
SetMessageAction	成就吐槽（纯评论类型）
SetPraiseAction	点赞
SetPraiseAllReadAction	设置所有未读点赞消息为已读
SetPraiseReadAction	设置点赞为已读
SetTagConcernAction	设置关注的标签（频道）
SetUserImageAction	修改用户头像
SetUserInfoAction	修改用户的个人资料
TagConcernListAction	返回关注的标签名称（频道）
TagListAction	返回关注的标签（频道）列表和热门（未关注）的列表
UserAchieveListAction	用户获得的成就列表
UserCommentListAction	评论消息列表
UserInfoAction	用户的个人资料
UserLoginAction	登录
UserMeetAction	获得指定用户与自己的共同点等相关信息
UserPostListAction	用户的帖子
UserPraiseListAction	用户的点赞信息
